====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:18:45 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    5
====================================================================

[19:18:48.711] [TORRE       ] RESUMING DESPEGUE: IBE-004
[19:18:48.712] [IBE-009     ] IBE-009: En puerta Puerta G4. Subiendo Pasajero PAX-IBE-009
[19:18:48.712] [TORRE       ] Recibida petición: BOARDING [IBE-009]
[19:18:48.712] [IBE-004     ] IBE-004: Despegando por Pista P2...
[19:18:48.714] [TORRE       ] Recibida petición: LANDED [IBE-010]
[19:18:48.723] [IBE-003     ] IBE-003: DEPARTED. Vuelo finalizado.
[19:18:48.724] [TORRE       ] Recibida petición: DEPARTED [IBE-003]
[19:18:48.815] [IBE-004     ] IBE-004: DEPARTED. Vuelo finalizado.
[19:18:48.815] [TORRE       ] Recibida petición: DEPARTED [IBE-004]
[19:18:48.821] [TORRE       ] ESPERA DESPEGUE: IBE-005
[19:18:48.922] [TORRE       ] Puerta liberada por IBE-006
[19:18:48.923] [IBE-006     ] IBE-006: Solicitando pista para despegue...
[19:18:48.923] [TORRE       ] Recibida petición: TAKEOFF [IBE-006]
[19:18:48.955] [TORRE       ] ESPERA ATERRIZAJE: IBE-018
[19:18:49.011] [TORRE       ] ESPERA ATERRIZAJE: IBE-020
[19:18:49.122] [TORRE       ] Puerta liberada por IBE-007
[19:18:49.123] [IBE-007     ] IBE-007: Solicitando pista para despegue...
[19:18:49.123] [TORRE       ] Recibida petición: TAKEOFF [IBE-007]
[19:18:49.228] [TORRE       ] Pista liberada por IBE-010
[19:18:49.228] [TORRE       ] RESUMING ATERRIZAJE: IBE-011
[19:18:49.228] [IBE-008     ] IBE-008: Embarque finalizado. Solicitando salida.
[19:18:49.228] [TORRE       ] Recibida petición: BOARDED [IBE-008]
[19:18:49.229] [IBE-010     ] IBE-010: En puerta Puerta G5. Subiendo Pasajero PAX-IBE-010
[19:18:49.229] [TORRE       ] Recibida petición: BOARDING [IBE-010]
[19:18:49.229] [IBE-011     ] IBE-011: Aterrizando en Pista P3...
[19:18:49.256] [TORRE       ] IBE-003 DEPARTED.
[19:18:49.256] [TORRE       ] RESUMING ATERRIZAJE: IBE-012
[19:18:49.257] [IBE-012     ] IBE-012: Aterrizando en Pista P1...
[19:18:49.313] [TORRE       ] IBE-004 DEPARTED.
[19:18:49.313] [TORRE       ] RESUMING DESPEGUE: IBE-005
[19:18:49.314] [IBE-005     ] IBE-005: Despegando por Pista P2...
[19:18:49.331] [IBE-011     ] IBE-011: Aterrizado. Liberando pista y yendo a Puerta G1
[19:18:49.332] [TORRE       ] Recibida petición: LANDED [IBE-011]
[19:18:49.359] [IBE-012     ] IBE-012: Aterrizado. Liberando pista y yendo a Puerta G2
[19:18:49.360] [TORRE       ] Recibida petición: LANDED [IBE-012]
[19:18:49.415] [IBE-005     ] IBE-005: DEPARTED. Vuelo finalizado.
[19:18:49.415] [TORRE       ] Recibida petición: DEPARTED [IBE-005]
[19:18:49.424] [TORRE       ] ESPERA DESPEGUE: IBE-006
[19:18:49.523] [TORRE       ] ESPERA DESPEGUE: IBE-007
[19:18:49.523] [IBE-009     ] IBE-009: Embarque finalizado. Solicitando salida.
[19:18:49.523] [TORRE       ] Recibida petición: BOARDED [IBE-009]
[19:18:49.529] [TORRE       ] Puerta liberada por IBE-008
[19:18:49.530] [IBE-008     ] IBE-008: Solicitando pista para despegue...
[19:18:49.530] [TORRE       ] Recibida petición: TAKEOFF [IBE-008]
[19:18:49.614] [TORRE       ] Pista liberada por IBE-011
[19:18:49.614] [TORRE       ] RESUMING ATERRIZAJE: IBE-013
[19:18:49.615] [IBE-011     ] IBE-011: En puerta Puerta G1. Subiendo Pasajero PAX-IBE-011
[19:18:49.615] [TORRE       ] Recibida petición: BOARDING [IBE-011]
[19:18:49.615] [IBE-013     ] IBE-013: Aterrizando en Pista P3...
[19:18:49.716] [IBE-013     ] IBE-013: Aterrizado. Liberando pista y yendo a Puerta G3
[19:18:49.716] [TORRE       ] Recibida petición: LANDED [IBE-013]
[19:18:49.725] [TORRE       ] Pista liberada por IBE-012
[19:18:49.725] [TORRE       ] RESUMING DESPEGUE: IBE-006
[19:18:49.726] [IBE-012     ] IBE-012: En puerta Puerta G2. Subiendo Pasajero PAX-IBE-012
[19:18:49.726] [TORRE       ] Recibida petición: BOARDING [IBE-012]
[19:18:49.726] [IBE-006     ] IBE-006: Despegando por Pista P1...
[19:18:49.824] [TORRE       ] IBE-005 DEPARTED.
[19:18:49.824] [TORRE       ] RESUMING DESPEGUE: IBE-007
[19:18:49.824] [IBE-007     ] IBE-007: Despegando por Pista P2...
[19:18:49.827] [IBE-006     ] IBE-006: DEPARTED. Vuelo finalizado.
[19:18:49.828] [TORRE       ] Recibida petición: DEPARTED [IBE-006]
[19:18:49.829] [TORRE       ] Puerta liberada por IBE-009
[19:18:49.829] [IBE-009     ] IBE-009: Solicitando pista para despegue...
[19:18:49.829] [TORRE       ] Recibida petición: TAKEOFF [IBE-009]
[19:18:49.858] [TORRE       ] ESPERA DESPEGUE: IBE-008
[19:18:49.858] [IBE-010     ] IBE-010: Embarque finalizado. Solicitando salida.
[19:18:49.859] [TORRE       ] Recibida petición: BOARDED [IBE-010]
[19:18:49.927] [IBE-007     ] IBE-007: DEPARTED. Vuelo finalizado.
[19:18:49.927] [TORRE       ] Recibida petición: DEPARTED [IBE-007]
[19:18:50.028] [TORRE       ] Pista liberada por IBE-013
[19:18:50.028] [TORRE       ] RESUMING ATERRIZAJE: IBE-014
[19:18:50.029] [IBE-013     ] IBE-013: En puerta Puerta G3. Subiendo Pasajero PAX-IBE-013
[19:18:50.029] [TORRE       ] Recibida petición: BOARDING [IBE-013]
[19:18:50.029] [IBE-014     ] IBE-014: Aterrizando en Pista P3...
[19:18:50.130] [TORRE       ] IBE-006 DEPARTED.
[19:18:50.130] [TORRE       ] RESUMING DESPEGUE: IBE-008
[19:18:50.130] [IBE-014     ] IBE-014: Aterrizado. Liberando pista y yendo a Puerta G4
[19:18:50.130] [TORRE       ] Recibida petición: LANDED [IBE-014]
[19:18:50.131] [IBE-008     ] IBE-008: Despegando por Pista P1...
[19:18:50.159] [TORRE       ] ESPERA DESPEGUE: IBE-009
[19:18:50.216] [TORRE       ] Puerta liberada por IBE-010
[19:18:50.216] [IBE-011     ] IBE-011: Embarque finalizado. Solicitando salida.
[19:18:50.216] [TORRE       ] Recibida petición: BOARDED [IBE-011]
[19:18:50.217] [IBE-010     ] IBE-010: Solicitando pista para despegue...
[19:18:50.217] [TORRE       ] Recibida petición: TAKEOFF [IBE-010]
[19:18:50.232] [IBE-008     ] IBE-008: DEPARTED. Vuelo finalizado.
[19:18:50.232] [TORRE       ] Recibida petición: DEPARTED [IBE-008]
[19:18:50.329] [TORRE       ] IBE-007 DEPARTED.
[19:18:50.329] [TORRE       ] RESUMING ATERRIZAJE: IBE-015
[19:18:50.330] [IBE-015     ] IBE-015: Aterrizando en Pista P2...
[19:18:50.426] [IBE-012     ] IBE-012: Embarque finalizado. Solicitando salida.
[19:18:50.427] [TORRE       ] Recibida petición: BOARDED [IBE-012]
[19:18:50.431] [TORRE       ] Pista liberada por IBE-014
[19:18:50.431] [TORRE       ] RESUMING DESPEGUE: IBE-009
[19:18:50.431] [IBE-015     ] IBE-015: Aterrizado. Liberando pista y yendo a Puerta G5
[19:18:50.431] [TORRE       ] Recibida petición: LANDED [IBE-015]
[19:18:50.432] [IBE-009     ] IBE-009: Despegando por Pista P3...
[19:18:50.433] [IBE-014     ] IBE-014: En puerta Puerta G4. Subiendo Pasajero PAX-IBE-014
[19:18:50.433] [TORRE       ] Recibida petición: BOARDING [IBE-014]
[19:18:50.461] [TORRE       ] Puerta liberada por IBE-011
[19:18:50.461] [IBE-011     ] IBE-011: Solicitando pista para despegue...
[19:18:50.462] [TORRE       ] Recibida petición: TAKEOFF [IBE-011]
[19:18:50.516] [TORRE       ] ESPERA DESPEGUE: IBE-010
[19:18:50.533] [IBE-009     ] IBE-009: DEPARTED. Vuelo finalizado.
[19:18:50.533] [TORRE       ] Recibida petición: DEPARTED [IBE-009]
[19:18:50.629] [TORRE       ] IBE-008 DEPARTED.
[19:18:50.629] [TORRE       ] RESUMING ATERRIZAJE: IBE-017
[19:18:50.630] [IBE-017     ] IBE-017: Aterrizando en Pista P1...
[19:18:50.726] [TORRE       ] Puerta liberada por IBE-012
[19:18:50.726] [IBE-013     ] IBE-013: Embarque finalizado. Solicitando salida.
[19:18:50.727] [TORRE       ] Recibida petición: BOARDED [IBE-013]
[19:18:50.727] [IBE-012     ] IBE-012: Solicitando pista para despegue...
[19:18:50.727] [TORRE       ] Recibida petición: TAKEOFF [IBE-012]
[19:18:50.731] [TORRE       ] Pista liberada por IBE-015
[19:18:50.731] [TORRE       ] RESUMING ATERRIZAJE: IBE-019
[19:18:50.731] [IBE-017     ] IBE-017: Aterrizado. Liberando pista y yendo a Puerta G1
[19:18:50.732] [TORRE       ] Recibida petición: LANDED [IBE-017]
[19:18:50.732] [IBE-015     ] IBE-015: En puerta Puerta G5. Subiendo Pasajero PAX-IBE-015
[19:18:50.732] [TORRE       ] Recibida petición: BOARDING [IBE-015]
[19:18:50.733] [IBE-019     ] IBE-019: Aterrizando en Pista P2...
[19:18:50.818] [TORRE       ] ESPERA DESPEGUE: IBE-011
[19:18:50.834] [IBE-019     ] IBE-019: Aterrizado. Liberando pista y yendo a Puerta G2
[19:18:50.834] [TORRE       ] Recibida petición: LANDED [IBE-019]
[19:18:50.930] [TORRE       ] IBE-009 DEPARTED.
[19:18:50.930] [TORRE       ] RESUMING DESPEGUE: IBE-010
[19:18:50.930] [IBE-010     ] IBE-010: Despegando por Pista P3...
[19:18:51.027] [TORRE       ] Puerta liberada por IBE-013
[19:18:51.027] [IBE-013     ] IBE-013: Solicitando pista para despegue...
[19:18:51.027] [TORRE       ] Recibida petición: TAKEOFF [IBE-013]
[19:18:51.032] [TORRE       ] ESPERA DESPEGUE: IBE-012
[19:18:51.032] [IBE-010     ] IBE-010: DEPARTED. Vuelo finalizado.
[19:18:51.032] [TORRE       ] Recibida petición: DEPARTED [IBE-010]
[19:18:51.062] [TORRE       ] Pista liberada por IBE-017
[19:18:51.062] [TORRE       ] RESUMING ATERRIZAJE: IBE-016
[19:18:51.062] [IBE-014     ] IBE-014: Embarque finalizado. Solicitando salida.
[19:18:51.062] [TORRE       ] Recibida petición: BOARDED [IBE-014]
[19:18:51.063] [IBE-017     ] IBE-017: En puerta Puerta G1. Subiendo Pasajero PAX-IBE-017
[19:18:51.063] [TORRE       ] Recibida petición: BOARDING [IBE-017]
[19:18:51.063] [IBE-016     ] IBE-016: Aterrizando en Pista P1...
[19:18:51.164] [IBE-016     ] IBE-016: Aterrizado. Liberando pista y yendo a Puerta G3
[19:18:51.164] [TORRE       ] Recibida petición: LANDED [IBE-016]
[19:18:51.231] [TORRE       ] Pista liberada por IBE-019
[19:18:51.231] [TORRE       ] RESUMING DESPEGUE: IBE-011
[19:18:51.231] [IBE-019     ] IBE-019: En puerta Puerta G2. Subiendo Pasajero PAX-IBE-019
[19:18:51.231] [TORRE       ] Recibida petición: BOARDING [IBE-019]
[19:18:51.232] [IBE-011     ] IBE-011: Despegando por Pista P2...
[19:18:51.328] [TORRE       ] ESPERA DESPEGUE: IBE-013
[19:18:51.333] [TORRE       ] IBE-010 DEPARTED.
[19:18:51.333] [TORRE       ] RESUMING DESPEGUE: IBE-012
[19:18:51.333] [IBE-011     ] IBE-011: DEPARTED. Vuelo finalizado.
[19:18:51.333] [TORRE       ] Recibida petición: DEPARTED [IBE-011]
[19:18:51.334] [IBE-012     ] IBE-012: Despegando por Pista P3...
[19:18:51.363] [TORRE       ] Puerta liberada por IBE-014
[19:18:51.364] [IBE-014     ] IBE-014: Solicitando pista para despegue...
[19:18:51.364] [TORRE       ] Recibida petición: TAKEOFF [IBE-014]
[19:18:51.419] [IBE-015     ] IBE-015: Embarque finalizado. Solicitando salida.
[19:18:51.419] [TORRE       ] Recibida petición: BOARDED [IBE-015]
[19:18:51.435] [IBE-012     ] IBE-012: DEPARTED. Vuelo finalizado.
[19:18:51.435] [TORRE       ] Recibida petición: DEPARTED [IBE-012]
